UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2018,1,16,I Am Not Your Negro,James Baldwin,"United States Race relations, Civil rights movements United States History 20th century, Racism United States, African Americans Civil rights History 20th century","Vintage Books,",2017
Physical,Horizon,BOOK,2018,1,27,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,AUDIOBOOK,2018,1,17,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2018,1,16,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Physical,Horizon,BOOK,2018,2,20,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,EBOOK,2018,2,21,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Physical,Horizon,BOOK,2018,3,19,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Physical,Horizon,BOOK,2018,3,17,Go Tell It on the Mountain,James Baldwin,"African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction, Harlem New York N Y Drama","Vintage International,",2013
Digital,OverDrive,EBOOK,2018,3,20,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Physical,Horizon,BOOK,2018,4,20,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,EBOOK,2018,4,20,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Physical,Horizon,BOOK,2018,5,15,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,EBOOK,2018,5,18,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Physical,Horizon,BOOK,2018,6,15,Giovanni's Room,James Baldwin,"Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Vintage International,",2013
Digital,OverDrive,EBOOK,2018,7,20,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Physical,Horizon,BOOK,2018,7,17,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,AUDIOBOOK,2018,8,16,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2018,8,19,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2018,9,16,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2018,9,17,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2018,10,19,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Physical,Horizon,BOOK,2018,10,15,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,AUDIOBOOK,2018,11,16,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Physical,Horizon,BOOK,2018,11,17,"Little Man, Little Man",James Baldwin,"City and town life New York State New York Juvenile fiction, African American boys Juvenile fiction, African American children Juvenile fiction, Friendship Juvenile fiction, Neighborhoods Juvenile fiction, Coming of age Fiction, Harlem New York N Y Juvenile fiction","Duke University Press,",2018
Digital,OverDrive,EBOOK,2018,11,17,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2018,12,17,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
