UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,AUDIOBOOK,2012,10,1,Another Country (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2010
Digital,OverDrive,AUDIOBOOK,2012,10,1,The Fire Next Time (Unabridged),,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Physical,Horizon,BOOK,2012,10,1,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction","Bantam Dell,",1981.
Physical,Horizon,BOOK,2012,10,1,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families New York State New York Fiction, African Americans Religion Fiction, Harlem New York N Y Fiction","Modern Library,","1994, c1953."
Digital,OverDrive,EBOOK,2012,10,1,The Cross of Redemption: Uncollected Writings,,James Baldwin,"Literary Criticism, Nonfiction","Random House, Inc.",2010
Physical,Horizon,BOOK,2012,10,4,If Beale Street could talk : a novel / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Love stories","Vintage International,",2006.
Physical,Horizon,BOOK,2012,10,3,Another country / James Baldwin.,,"Baldwin, James, 1924-1987","Racism United States Fiction, Suicide Fiction, African Americans Social conditions Fiction, New York N Y Fiction","Vintage Books,",1993.
Physical,Horizon,BOOK,2012,10,2,Just above my head / James Baldwin.,,"Baldwin, James, 1924-1987","Gay men Fiction, African American families Fiction, Gospel musicians Fiction, Harlem New York N Y Fiction","Delta Trade Paperbacks,","2000, c1979."
Physical,Horizon,BOOK,2012,11,1,One day when I was lost : a scenario based on Alex Haley's The autobiography of Malcolm X / James Baldwin.,,"Baldwin, James, 1924-1987",X Malcolm 1925 1965 Drama,"Vintage International,","2007, c1972."
Digital,OverDrive,EBOOK,2012,11,1,Native Sons: A Friendship That Created One of the Greatest Works of the 20th Century: Notes of a Native Son,,James Baldwin,"Biography & Autobiography, Nonfiction","Random House, Inc.",2012
Physical,Horizon,BOOK,2012,11,4,Giovanni's room / James Baldwin.,,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Delta Trade Paperbacks,",2000.
Physical,Horizon,BOOK,2012,11,1,Going to meet the man / by James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Race relations Fiction","Vintage Books,","1995, c1965."
Physical,Horizon,BOOK,2012,11,3,The fire next time / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993.
Physical,Horizon,BOOK,2012,11,1,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction","Dell,","1981, c1953."
Physical,Horizon,BOOK,2012,11,2,Tell me how long the train's been gone / a novel by James Baldwin.,,"Baldwin, James, 1924-1987","African American actors Fiction, Heart Diseases Patients Fiction, Harlem New York N Y Fiction, Successful people Fiction, Psychological fiction","Vintage International,",1998.
Physical,Horizon,BOOK,2012,11,2,Notes of a native son / James Baldwin.,,"Baldwin, James, 1924-1987","Baldwin James 1924 1987, African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations","Beacon Press,","c1984, c1955."
Digital,OverDrive,EBOOK,2012,11,1,The Cross of Redemption: Uncollected Writings,,James Baldwin,"Literary Criticism, Nonfiction","Random House, Inc.",2010
Physical,Horizon,BOOK,2012,11,3,The cross of redemption : uncollected writings / James Baldwin ; edited and with an introduction by Randall Kenan.,,"Baldwin, James, 1924-1987",,"Pantheon Books,",2010.
Physical,Horizon,BOOK,2012,11,4,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families New York State New York Fiction, African Americans Religion Fiction, Harlem New York N Y Fiction","Modern Library,","1994, c1953."
Physical,Horizon,BOOK,2012,11,6,If Beale Street could talk : a novel / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Love stories","Vintage International,",2006.
Physical,Horizon,BOOK,2012,11,2,Another country / James Baldwin.,,"Baldwin, James, 1924-1987","Racism United States Fiction, Suicide Fiction, African Americans Social conditions Fiction, New York N Y Fiction","Vintage Books,",1993.
Digital,OverDrive,AUDIOBOOK,2012,11,1,The Fire Next Time (Unabridged),,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Physical,Horizon,BOOK,2012,11,1,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction","Bantam Dell,",1981.
Physical,Horizon,BOOK,2012,12,3,If Beale Street could talk : a novel / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Love stories","Vintage International,",2006.
Digital,OverDrive,EBOOK,2012,12,2,The Cross of Redemption: Uncollected Writings,,James Baldwin,"Literary Criticism, Nonfiction","Random House, Inc.",2010
Digital,OverDrive,AUDIOBOOK,2012,12,1,The Fire Next Time (Unabridged),,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Physical,Horizon,BOOK,2012,12,6,Giovanni's room / James Baldwin.,,"Baldwin, James, 1924-1987","Americans France Paris Fiction, Men Sexual behavior Fiction, Homosexuality France Paris Fiction","Delta Trade Paperbacks,",2000.
Physical,Horizon,BOOK,2012,12,1,If Beale Street could talk [text (large print)] / by James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Large type books","G.K. Hall,",1996.
Digital,OverDrive,AUDIOBOOK,2012,12,2,Going to Meet the Man (Unabridged),,James Baldwin,"Fiction, Short Stories","Blackstone Audio, Inc.",2011
Physical,Horizon,BOOK,2012,12,1,Early novels and stories / James Baldwin.,,"Baldwin, James, 1924-1987",,"Library of America,",1998.
Physical,Horizon,BOOK,2012,12,1,The cross of redemption : uncollected writings / James Baldwin ; edited and with an introduction by Randall Kenan.,,"Baldwin, James, 1924-1987",,"Pantheon Books,",2010.
Physical,Horizon,BOOK,2012,12,1,Notes of a native son / James Baldwin ; with a new introduction by Edward P. Jones.,,"Baldwin, James, 1924-1987","African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations, Baldwin James 1924 1987","Beacon Press,","[2012], c1955."
Physical,Horizon,BOOK,2012,12,5,Another country / James Baldwin.,,"Baldwin, James, 1924-1987","Racism United States Fiction, Suicide Fiction, African Americans Social conditions Fiction, New York N Y Fiction","Vintage Books,",1993.
Physical,Horizon,BOOK,2012,12,7,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction","Dell,","1981, c1953."
Physical,Horizon,BOOK,2012,12,2,Tell me how long the train's been gone / a novel by James Baldwin.,,"Baldwin, James, 1924-1987","African American actors Fiction, Heart Diseases Patients Fiction, Harlem New York N Y Fiction, Successful people Fiction, Psychological fiction","Vintage International,",1998.
Physical,Horizon,BOOK,2012,12,1,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families New York State New York Fiction, African Americans Religion Fiction, Harlem New York N Y Fiction","Modern Library,","1994, c1953."
Physical,Horizon,BOOK,2012,12,1,Notes of a native son / James Baldwin.,,"Baldwin, James, 1924-1987","Baldwin James 1924 1987, African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations","Beacon Press,","c1984, c1955."
Physical,Horizon,BOOK,2012,12,1,Just above my head / James Baldwin.,,"Baldwin, James, 1924-1987","Gay men Fiction, African American families Fiction, Gospel musicians Fiction, Harlem New York N Y Fiction","Delta Trade Paperbacks,","2000, c1979."
Digital,OverDrive,AUDIOBOOK,2012,12,1,Another Country (Unabridged),,James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2010
Physical,Horizon,BOOK,2012,12,1,The fire next time / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993.
