quote,text,tweet_type,date
a civilization which has always glorified violence,"""We live in ""a civilization which has always glorified violence--unless the Negro had the gun.""--James Baldwin circa 1963 #Ferguson""",original,2014-11-25 07:24:24+00:00
a civilization which has always glorified violence,"We live in ""a civilization which has always glorified violence--unless the Negro had the gun.""--James Baldwin circa 1963 #Ferguson",original,2014-11-25 06:53:21+00:00
administration on the spot,“One has got to find some way of putting the present administration of this country on the spot.” – James Baldwin #Ferguson,original,2014-11-26 08:23:50+00:00
all crimes must be atoned for,"""One crime is not more important than another and all crimes must be atoned for.""  ~ James Baldwin. #BlackLivesMatter",original,2015-03-19 22:54:08+00:00
all our children,"""These are all our children. We will profit or pay for whatever they become."" James Baldwin #Ferguson #equality http://t.co/YG8EWT4E7R",original,2014-11-25 00:47:25+00:00
any upheaval,"""Any upheaval in the universe is terrifying because it so profoundly attacks one's sense of one's own reality."" -James Baldwin #EricGarner",original,2014-12-04 06:50:04+00:00
any way inferior,Just finished James Baldwin's The Fire Next time. 1 of the best books I have ever read. Read it. #BlackLivesMatter http://t.co/VssbTc0Ina,original,2015-04-08 18:48:20+00:00
anything to anybody to justify it,"""I still believe when a country has lost all human feeling, you can do anything to anybody and justify it..."" ~James Baldwin~ #Ferguson",original,2015-01-14 15:41:39+00:00
authors of devastation,"""It is not permissible that the authors of devastation should also be innocent."" -James Baldwin #ICantBreathe #EricGarner #BlackLivesMatter",original,2014-12-04 21:08:23+00:00
because I was despised,"""The terror was not because I was black, it was because I was despised""  James Baldwin    #BlackLivesMatter",original,2014-12-18 20:55:16+00:00
behind the gates of freedom,"""We are behind the gates of a kingdom which is determined to destroy us."" James Baldwin #ICantBreathe #BlackLivesMatter #alivewhileblack",original,2014-12-04 16:25:12+00:00
being white means,"""Being white means never having to think about it.” -James Baldwin #Ferguson",original,2014-08-14 04:08:56+00:00
being white means,Being #white means never having to think about it.' - James Baldwin   [ #Ferguson #America #racism ],original,2014-08-14 10:07:52+00:00
being white means,"I grew up ten minutes from where Michael Brown was murdered. Like James Baldwin said, ""Being white means never having to think about it.""",original,2014-08-14 08:05:33+00:00
